Title	Authors	File
Interactive Arrangement of Chords and Melodies Based on a Tree-Structured Generative Model	Hiroaki Tsushima, Eita Nakamura, Katsutoshi Itoyama, Kazuyoshi Yoshii	1_Paper.pdf
A Generalized Parsing Framework for Generative Models of Harmonic Syntax	Daniel Harasim, Martin Rohrmeier, Timothy J. O'Donnell	258_Paper.pdf
An energy-based generative sequence model for testing sensory theories of Western harmony	Peter M. C. Harrison, Marcus T. Pearce	215_Paper.pdf
Automatic, Personalized, and Flexible Playlist Generation using Reinforcement Learning	Shun-Yao Shih, Heng-Yu Chi	18_Paper.pdf
Bridging audio analysis, perception and synthesis with perceptually-regularized variational timbre spaces	Philippe Esling, Axel Chemla--Romeu-Santos, Adrien Bitton	219_Paper.pdf
Conditioning Deep Generative Raw Audio Models for Structured Automatic Music	Rachel Manzelli, Vijay Thakkar, Ali Siahkamari, Brian Kulis	192_Paper.pdf
Convolutional Generative Adversarial Networks with Binary Neurons for Polyphonic Music Generation	Hao-Wen Dong, Yi-Hsuan Yang	218_Paper.pdf
Cover Song Synthesis by Analogy	Christopher Tralie	103_Paper.pdf
Part-invariant Model for Music Generation and Harmonization	Yujia Yan, Ethan Lustig, Joseph VanderStel, Zhiyao Duan	293_Paper.pdf
Evaluating language models of tonal harmony	David Sears, Filip Korzeniowski, Gerhard Widmer	262_Paper.pdf
Skeleton plays piano: online generation of pianist body movements from MIDI performance	Bochen Li, Akira Maezawa, Zhiyao Duan	109_Paper.pdf
Towards Full-Pipeline Handwritten OMR with Musical Symbol Detection by U-Nets	Jan Hajič jr., Matthias Dorfer, Gerhard Widmer, Pavel Pecina	175_Paper.pdf
Searching Page-Images of Early Music Scanned with OMR: A Scalable Solution Using Minimal Absent Words	Tim Crawford, Golnaz Badkobeh, David Lewis	210_Paper.pdf
Optical Music Recognition in Mensural Notation with Region-based Convolutional Neural Networks	Alexander Pacha, Jorge Calvo-Zaragoza	32_Paper.pdf
Camera-PrIMuS: Neural End-to-End Optical Music Recognition on Realistic Monophonic Scores	Jorge Calvo-Zaragoza, David Rizo	33_Paper.pdf
Document Analysis of Music Score Images with Selectional Auto-Encoders	Francisco Castellanos, Jorge Calvo-Zaragoza, Gabriel Vigliensoni, Ichiro Fujinaga	93_Paper.pdf
Genre-Agnostic Key Classification With Convolutional Neural Networks	Filip Korzeniowski, Gerhard Widmer	7_Paper.pdf
Deep Watershed Detector for Music Object Recognition	Lukas Tuggener, Ismail Elezi, Jürgen Schmidhuber, Thilo Stadelmann	225_Paper.pdf
